CRASH DATE,ACCIDENT_COUNT,TOTAL_INJURIES
2014-09-16,613,153.0
2014-09-17,658,158.0
2014-09-18,650,177.0
2014-09-19,648,143.0
2014-09-20,594,159.0
2014-09-21,515,166.0
2014-09-22,662,176.0
2014-09-23,592,135.0
2014-09-24,566,106.0
2014-09-25,491,108.0
2014-09-26,643,175.0
2014-09-27,600,175.0
2014-09-28,512,144.0
2014-09-29,566,123.0
2014-09-30,589,147.0
2014-10-01,559,133.0
2014-10-02,558,115.0
2014-10-03,719,230.0
2014-10-04,531,157.0
2014-10-05,505,150.0
2014-10-06,639,152.0
2014-10-07,620,184.0
2014-10-08,639,150.0
2014-10-09,499,121.0
2014-10-10,541,130.0
2014-10-11,546,181.0
2014-10-12,473,161.0
2014-10-13,451,138.0
2014-10-14,697,179.0
2014-10-15,575,143.0
2014-10-16,602,175.0
2014-10-17,648,162.0
2014-10-18,494,167.0
2014-10-19,483,160.0
2014-10-20,591,136.0
2014-10-21,607,132.0
2014-10-22,708,191.0
2014-10-23,639,151.0
2014-10-24,669,156.0
2014-10-25,515,139.0
2014-10-26,515,134.0
2014-10-27,642,184.0
2014-10-28,571,114.0
2014-10-29,556,144.0
2014-10-30,626,116.0
2014-10-31,668,142.0
2014-11-01,656,202.0
2014-11-02,532,136.0
2014-11-03,625,157.0
2014-11-04,538,127.0
2014-11-05,554,150.0
2014-11-06,652,153.0
2014-11-07,641,171.0
2014-11-08,543,132.0
2014-11-09,419,101.0
2014-11-10,560,136.0
2014-11-11,493,123.0
2014-11-12,547,161.0
2014-11-13,696,159.0
2014-11-14,654,165.0
2014-11-15,529,142.0
2014-11-16,429,114.0
2014-11-17,666,167.0
2014-11-18,712,149.0
2014-11-19,633,141.0
2014-11-20,635,113.0
2014-11-21,677,162.0
2014-11-22,513,172.0
2014-11-23,425,129.0
2014-11-24,722,155.0
2014-11-25,599,125.0
2014-11-26,742,185.0
2014-11-27,378,127.0
2014-11-28,444,117.0
2014-11-29,394,93.0
2014-11-30,377,81.0
2014-12-01,644,144.0
2014-12-02,611,135.0
2014-12-03,570,128.0
2014-12-04,606,161.0
2014-12-05,673,184.0
2014-12-06,628,165.0
2014-12-07,493,136.0
2014-12-08,579,114.0
2014-12-09,645,154.0
2014-12-10,649,165.0
2014-12-11,669,151.0
2014-12-12,688,148.0
2014-12-13,594,138.0
2014-12-14,439,130.0
2014-12-15,720,166.0
2014-12-16,646,171.0
2014-12-17,555,139.0
2014-12-18,621,121.0
2014-12-19,652,157.0
2014-12-20,505,113.0
2014-12-21,409,87.0
2014-12-22,566,110.0
2014-12-23,732,172.0
2014-12-24,519,139.0
2014-12-25,304,92.0
2014-12-26,446,86.0
2014-12-27,406,126.0
2014-12-28,349,113.0
2014-12-29,411,104.0
2014-12-30,469,86.0
2014-12-31,461,95.0
2015-01-01,395,130.0
2015-01-02,442,93.0
2015-01-03,456,137.0
2015-01-04,381,109.0
2015-01-05,498,144.0
2015-01-06,777,142.0
2015-01-07,538,151.0
2015-01-08,573,117.0
2015-01-09,751,153.0
2015-01-10,481,112.0
2015-01-11,341,66.0
2015-01-12,580,157.0
2015-01-13,613,142.0
2015-01-14,506,115.0
2015-01-15,548,123.0
2015-01-16,563,114.0
2015-01-17,495,110.0
