Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
255.0,245.83902,251.59529
242.0,245.74309,254.26874
242.0,245.62692,253.58934
258.0,245.57988,253.50145
253.0,246.00552,255.40454
247.99998,246.48763,255.82454
245.0,246.85027,255.82164
290.0,247.11201,255.72241
196.00002,248.63403,261.26895
188.0,247.6851,252.81746
247.99998,245.53035,248.39241
182.0,244.66689,252.15819
291.0,242.22101,244.76955
244.0,242.77057,254.05498
282.0,243.04546,251.9771
252.0,244.46794,256.6567
213.0,245.45642,255.71683
174.0,244.9979,251.50134
231.0,242.64746,244.80896
213.0,241.23386,247.43628
236.0,239.76097,245.04547
219.0,239.0312,246.26643
212.0,238.17941,244.28923
236.99998,237.04124,242.37492
238.0,236.56541,244.00873
274.0,236.40553,244.52148
204.0,237.59912,249.27342
