Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
203.0,229.0937,230.70374
229.0,217.13687,241.49191
238.0,201.6823,223.12564
189.0,194.9786,205.78378
225.0,208.4224,218.1931
198.0,228.9468,222.293
187.0,236.89441,221.81421
232.0,230.63437,217.86317
262.0,217.38162,237.58678
209.0,203.06241,225.4197
187.0,195.60698,198.80823
191.0,208.52727,214.2205
196.00002,226.88882,212.41864
187.0,233.49272,214.3369
210.0,226.69576,211.2297
230.0,212.30919,226.21347
167.0,196.05324,209.59117
188.0,185.68874,178.42776
205.0,197.06569,195.45296
213.0,215.57904,197.40749
215.0,224.01442,206.5488
209.0,220.64012,212.34633
282.0,208.80394,228.24664
195.0,197.03671,229.68457
193.0,190.92017,205.1083
229.0,204.8212,220.74637
195.0,225.71135,223.02078
244.0,233.74811,222.5584
230.0,230.76399,235.31644
264.0,219.41049,252.37271
216.0,206.17067,240.66312
201.0,199.49222,214.08342
221.0,213.56915,228.90387
228.0,234.21666,229.06174
204.0,243.58353,234.46896
257.0,238.70834,233.27931
275.00003,227.0969,259.4213
228.0,213.78519,246.67216
225.0,207.25488,220.27519
207.00002,222.70534,240.07545
252.0,243.30997,235.80722
236.99998,253.40424,245.3573
249.0,250.06407,249.70906
259.0,238.07417,269.85706
208.0,222.77039,250.08073
174.0,213.23544,216.60027
222.0,223.9058,225.37694
245.0,242.39783,225.77502
186.00002,250.94054,234.36273
236.99998,244.12297,226.46835
242.0,229.88098,248.6837
232.0,213.0567,229.90767
191.0,204.69028,210.27252
190.0,217.3456,221.005
250.0,235.48154,215.867
229.0,244.59428,231.50468
206.00002,240.81679,236.20776
215.0,226.85922,248.05603
175.00002,208.79771,224.51343
194.0,196.70181,193.30464
144.0,207.20045,205.77884
